Labels,Translation,Decision
"Social group, Facial expression, Youth, Community, Friendship, Event, Team, Smile, Happy, Leisure",34 Axis students from Tulkarm visited the first Palestinian olive exhibition 2019 at Khadouri University. It was a great experience in which students learned about Palestinian companies that manufacture products from olive oil,fake 
"Social group, Event, Community, Water, Meeting, Team, Lunch","Our wonderful Alexis students in Eizariya also celebrated Thanksgiving by participating each other at Thanksgiving dinner. After the ceremony, they made Thanksgiving posters to learn about this important American occasion. Wonderful.",fake
"Statue, Sculpture, Monument, Landmark, Art, Bronze sculpture, Classical sculpture, Artwork, Metal, Bronze","Our Alexis graduates are awesome! In the picture, Mazen Al-Zrou is now pursuing his second master’s degree in Germany, after receiving a scholarship. Mazen also studied his first masters degree through a scholarship in Britain. Creator!",fake
"Community, Event, Organism, Adaptation, Room","In Gaza, the brilliant English students of the Imidiste learn about the concept of tipping in English. Wonderful!",fake
"People, Fun, Child, Yellow, Community, Smile, Headgear, Event, Happy, Vacation","Alexis students were creative through their fun day at the Nations Park in Ramallah. In the pictures, two children enjoy showing clowns. Wonderful!",real
"Event, Job, Text, Community, Organism, Seminar, Training, Font, Collaboration, Adaptation",The adorable students in the photo learn about programming languages and their uses at the American House in Jerusalem. Excellent. Computer related specializations are required.,fake
"Social group, Event, Team, Vernissage, Exhibition, Art, Art exhibition, Visual arts, Tourism, Tourist attraction","Yesterday, Assistant Secretary of State for Cultural and Educational Affairs Mary Royce met an amazing group of Palestinian students studying English and learning about American culture through the Access program, funded by the Department of Education and Cultural Affairs of his Foreign Ministry, at the American House in Jerusalem. What an inspiring group!",fake
"Pink, Youth, Event","Congratulations to the graduate of Alex Hind Al-Shuaibi for achieving second place with her team on the Water Security System project in the Halt Prize competition, as part of the activities for entrepreneurs at Al-Quds University. Congratulations",fake
"Food, Dish, Meal, Bake sale, Fast food, Cuisine, Cook, Breakfast, Cooking, Baking","On the occasion of Christmas, we distributed donuts for our colleagues in the office. The cookies were flavored with ginger, nuts and dried fruits. Please have food",fake
"Event, Organism, Human, Conversation, Adaptation, Collaboration, Job, Training, Meeting, Learning",The wonderful Alexis students from Hebron visited the American House in Jerusalem. Their English language share was about good citizenship. Wonderful.,fake
"Graduation, Academic dress, Scholar, Clothing, Mortarboard, Phd, Public event, Robe, College, Event","Farah El-Helou, an Access student from Gaza. She is also a painter who explores her free time by drawing beautiful paintings on topics such as childhood and music. Gorgeous",fake
"Wall, Mural, Art, Graffiti, Street art, Artwork",The wonderful Alexis students from Nablus did a great job in the village of Telfit. They painted a sweet mural and planted beautiful flowers at the Village School for Girls. Wonderful!,fake
"Social group, Youth, Event, Design, Team, Tourism, Leisure, Art",A copy of the activities of the Axis students in Jericho. Students participate in various activities to help them learn the English language. Wonderful!,fake
"Social group, Team, Youth, Event, Community, Tourism",We visited a wonderful group of Alexis students in Bethlehem during their English class. Their share was about writing poetry in English. Wonderful!,fake
"Social group, Event, Community, Team",A group of graduates from ACCIS from Gaza Hebo they provide a service to the community by training 15 Axis students in the American sign language. Wonderful!,fake 
"Natural landscape, Tree, Property, Sky, Vegetation, Grass, Natural environment, Wilderness, House, Home","Good rain here in Jerusalem, tell us from which area you are and how it rains.",fake 
"Social group, Team, Youth, Event, Community, Training, Smile, Metal","Axis students from Tulkarm are wonderful in the photo, during a visit by our colleague Maddy.",fake 
"Software engineering, Technology, Job, Electronic device, Learning, Personal computer","Ahmad Qawasmi from Jerusalem, participant in the technology camp of the American House in Jerusalem. During the camp, students learn about programming and technology. Wonderful!",fake 
"Social group, People, Team, Event, Youth, Community, Fun, Photography, Smile, Crowd","A visit by the staff of the Palestinian Affairs Department at the American Embassy to students of the Alexis program to learn the English language from Jerusalem, the topic that they discussed in the coming year, such as this time. What are your ambitions for the coming year? ?",real
"Event, World, Media, Brand, Newscaster",Your dream that you study in America? See the article in the link below and find out more about studying in America from an expert on this topic.,fake 
"Social group, Team, Youth, Event, Community, Student, High school, Crowd, Secondary school",How happy they are! Students from the Alexis program from Gaza were chosen to train on leadership skills and write proposals. Good luck and forward.,fake 
"Social group, Red, Youth, Event, Community, Team, Design, Tourism, Student, Performance","The graduates of the Alexis program from the West Bank and Jerusalem met in Ramallah to discuss activities that could be undertaken in the new year during the meeting, they held workshops and various activities. And also there was a time for fun, in the picture some graduates sing. Many talented people among graduates.",real
"Mountainous landforms, Mountain, Glacial lake, Glacial landform, Polar ice cap, Glacier, Ice, Iceberg, Sky, Ice cap","Who wasn’t snow in the last storm? Cheese, a picture of snow, from Alaska, USA.",real
"Basketball player, Ball game, Player, Team sport, Basketball, Jersey, Basketball moves, Championship, Sports, Sportswear","Rest in peace, Kobe! Kobe Bryant, one of the best basketball players in history, was killed yesterday in a helicopter crash in California.",real 
"Entertainment, Performing arts, Dancer, Dance, Choreography, Performance, Performance art, Event, Concert dance, Modern dance","February is the month of celebration of the history of African Americans, the diverse cultures of American society",fake
"Child, Illustration, Organism, Art, Adaptation, Visual arts",Axis students from Ramallah organized a joyful day for children aged 5-13 years during the winter break. Read and think the title of the day was to encourage children to read. Adorable Alexis students. What do you think of this activity?,fake 
"Job, Sky, Community, Training, Event, Seminar, Room, Office, Technology, Learning","Aseel Al-Aloul, a graduate of the ACCESS Program from Gaza, conducted training in medical research skills for more than 20 ACCESS students. Thanks, Aseel, you are great!",fake
"Snapshot, Pedestrian, Street, Public space, Urban area, Sitting, Infrastructure, City, Metropolitan area, Street performance","Safaa is a graduate of a cultural exchange program for teachers, during the program she visited many beautiful landmarks in the United States. The program is currently available to submit applications, if you are a male or female teacher, or you know somebody who can provide what is late and submit it.",fake
"Text, Heart, Font, Love, Calligraphy, Clip art, Graphics",Happy holiday for all,real
"Event, Community, Job, Crowd, Employment, Team, Tourism","Elias and Access program graduates from Gaza organized, in cooperation with the Education Center in the United States, a day of graduate activities, where they shared their experiences and achievements and talked about the future plans that they intend to implement with the new students.",fake 
"Water, Yellow, Lighting, Night, Sky, Space, Darkness, World, Stock photography, Heat","A picture of the Egyptian city of Cairo, taken by NASA from space, showing shimmering lights along the banks of the Nile",real
"People, Community, Tree, Event, Crowd, Recreation, Team, Competition event, Leisure, Asphalt","Last month, 34 Axis Salfit students volunteered for a community service activity that showed appreciation and love to Salfit senior citizens in the Al Wafa Association for the Elderly, as well as some elderly students visited as part of the activity. Students collected cash to buy blankets and socks for 12 elderly people and spent time talking to them. Great job!",fake
